author_id,author
616,Wilkie Collins/Matthew Sweet
617,Willa Cather
618,William Faulkner
619,William Gibson
620,William Gibson/Bruce Sterling/Jonathan Davis/Dennis Holland/Kevin Pariseau/Victor Bevine/Jay Snyder/Brian Nishil/L.J. Ganser/Oliver Wyman/Eric Michael Summerer/Marc Vietor
621,William Golding
622,William Goldman
623,William Makepeace Thackeray/John Carey
624,William S. Burroughs/James Grauerholz/Barry Miles
625,William S. Burroughs/Oliver  Harris/Allen Ginsberg
626,William Shakespeare
627,William Shakespeare/Barbara A. Mowat/Paul Werstine/Michael Neill
628,William Shakespeare/Harold Bloom/Rex Gibson
629,William Shakespeare/Katherine Duncan-Jones
630,William Shakespeare/Paul Werstine/Barbara A. Mowat
631,William Shakespeare/Roma Gill
632,William Strunk Jr./E.B. White
633,Zadie Smith
634,Zilpha Keatley Snyder
635,Zora Neale Hurston
636,Åsne Seierstad/Ingrid Christopherson
